event_id,start_time,asset_name,input_event_csv_filename,vab_flickers,vab_harmonics,vab_interruptions,vab_interruptions_harmonics,vab_osc_transients,vab_sags,vab_sags_harmonics,vab_spikes,vab_swells,vab_swells_harmonics,vbc_flickers,vbc_harmonics,vbc_interruptions,vbc_interruptions_harmonics,vbc_osc_transients,vbc_sags,vbc_sags_harmonics,vbc_spikes,vbc_swells,vbc_swells_harmonics,vca_flickers,vca_harmonics,vca_interruptions,vca_interruptions_harmonics,vca_osc_transients,vca_sags,vca_sags_harmonics,vca_spikes,vca_swells,vca_swells_harmonics,ia_flickers,ia_harmonics,ia_interruptions,ia_interruptions_harmonics,ia_osc_transients,ia_sags,ia_sags_harmonics,ia_spikes,ia_swells,ia_swells_harmonics,ib_flickers,ib_harmonics,ib_interruptions,ib_interruptions_harmonics,ib_osc_transients,ib_sags,ib_sags_harmonics,ib_spikes,ib_swells,ib_swells_harmonics,ic_flickers,ic_harmonics,ic_interruptions,ic_interruptions_harmonics,ic_osc_transients,ic_sags,ic_sags_harmonics,ic_spikes,ic_swells,ic_swells_harmonics
event_0940,31:13.9,Site0009_F_0000065,epri_event_0940,4.2165362e-07,1.1663803e-15,0.0004656366,2.6022567e-06,2.0652531e-05,1.406853e-08,3.3081267e-07,1.3049836e-08,4.8414363e-06,0.9995054,1.1920562e-12,4.3347465e-23,1.3703551e-10,5.381396e-10,8.710544e-10,5.657096e-14,7.7316724e-17,1.7851122e-11,4.3388095e-11,1.0,1.1508178e-07,3.3076475e-16,0.00010846496,1.4222766e-06,8.820212e-06,1.3090034e-08,1.5355664e-07,1.0654303e-09,9.187707e-07,0.9998801,1.4665872e-23,0.0,1.2647387e-18,2.7250815e-23,5.3793026e-10,1.798097e-34,2.52619e-37,1.0875256e-36,6.0660733e-30,1.0,2.318123e-05,9.114342e-08,0.00021992208,3.093396e-06,0.00083775976,2.8431546e-06,3.6901827e-05,0.10572238,0.0011249555,0.89202887,1.2440895e-18,8.0771614e-32,3.3536396e-10,3.8210012e-14,1.6425349e-05,3.9745625e-25,5.121853e-24,1.7932455e-26,2.5679788e-20,0.99998355
event_2831,1/15/2006 01:00:18.2080,Site0014,epri_event_2831,1.5388876e-13,2.269358e-17,1.9638091e-09,0.92705464,1.7809528e-11,6.888152e-17,4.0712253e-15,2.0775894e-12,1.3172841e-05,0.07293219,1.5450886e-12,1.4267529e-17,8.9432994e-08,0.7116197,3.6814334e-09,1.2013501e-17,2.9691001e-15,2.2605385e-12,0.0004077435,0.28797257,2.8906854e-05,9.427078e-09,0.0043995003,0.8958194,1.3339862e-05,6.3598534e-08,1.3226169e-07,1.971638e-06,0.017273135,0.08246353,3.57363e-15,9.735737e-20,1.4495408e-13,0.0009428172,3.9723036e-06,1.3373428e-27,8.987957e-12,1.1283416e-13,0.00037660336,0.9986766,4.1321295e-23,7.950982e-31,1.4541538e-23,2.8765733e-21,0.000110232955,0.0,5.6362534e-34,1.9790759e-28,1.6262499e-08,0.99988973,5.6386913e-18,1.7884348e-17,4.4381705e-13,1.5956305e-06,3.066782e-05,3.9476128e-26,2.3690388e-24,6.2086646e-19,4.7541052e-06,0.9999629
event_2776,01:38.9,Site0010,epri_event_2776,8.815882e-12,9.133546e-22,1.4219411e-09,6.284479e-11,3.691312e-08,0.6736011,0.3263989,6.008412e-16,8.6519615e-13,1.0218617e-13,2.1706623e-10,1.1968734e-25,5.7973885e-08,7.20239e-05,7.497948e-05,1.5259047e-16,3.615193e-21,2.0475011e-17,0.9997975,5.5436925e-05,2.8289203e-06,1.651215e-14,8.962954e-12,1.1538474e-13,1.1579618e-05,2.635313e-15,2.504966e-13,3.8123213e-07,0.999985,2.399508e-07,0.08294447,0.13063294,0.09178081,0.08431188,0.092292644,0.103744484,0.108943865,0.120307334,0.093128406,0.09191318,0.08294447,0.13063294,0.09178081,0.08431188,0.092292644,0.103744484,0.108943865,0.120307334,0.093128406,0.09191318,3.786491e-38,0.0,0.0,2.8838773e-22,1.2102465e-12,0.0,6.2924346e-37,0.0,1.0569768e-14,1.0
event_2762,10:14.8,Site0010,epri_event_2762,2.8026104e-06,3.0333315e-15,1.3190099e-10,1.3976813e-11,0.0014475797,8.4575645e-12,3.679763e-13,1.4356714e-06,0.9985481,1.01956054e-07,3.6285354e-15,4.5220076e-23,7.638159e-15,3.0541318e-17,3.410568e-07,0.61137134,0.3886283,4.6669827e-20,4.294859e-17,2.7173845e-18,9.291085e-07,6.2925296e-22,4.919788e-11,1.2892229e-11,2.462596e-06,5.092183e-18,9.578441e-20,7.9410125e-14,0.9999502,4.6436762e-05,6.748171e-37,3.3270476e-34,1.1375984e-34,1.796353e-22,1.6085393e-15,0.0,5.3453747e-37,2.702902e-33,2.3909964e-18,1.0,4.255673e-05,1.8304643e-05,0.00015541152,0.9409193,6.0350485e-05,8.95721e-06,3.699128e-05,2.1122029e-05,0.043833494,0.014903549,0.08294447,0.13063294,0.09178081,0.08431188,0.092292644,0.103744484,0.108943865,0.120307334,0.093128406,0.09191318
event_2789,7/27/2005 18:08:27.9180,Site0010,epri_event_2789,1.6349921e-11,1.1572989e-16,2.1652653e-05,0.7274979,1.6938582e-09,4.818026e-19,3.8526423e-17,3.0628104e-15,0.00068464247,0.2717958,4.8378964e-14,1.5170803e-17,1.00103904e-07,0.2932752,2.4061872e-10,5.663327e-22,3.615538e-19,3.3824967e-17,0.00011980841,0.70660484,5.1890917e-23,2.080082e-25,6.958881e-17,0.004789143,3.7313646e-12,2.448773e-28,1.13281504e-20,3.0604606e-25,9.971471e-12,0.9952108,2.0154456e-21,7.103474e-27,7.6500054e-21,5.2449652e-14,5.2952635e-07,3.2209923e-36,2.9736785e-33,5.2459308e-27,1.9475399e-10,0.9999995,3.5598583e-25,1.1772187e-30,3.778897e-25,1.5086863e-12,1.8761978e-12,0.0,5.474248e-36,2.1259322e-32,4.931876e-13,1.0,1.3691682e-26,4.2775723e-35,1.1081169e-28,1.0692463e-18,5.095033e-10,0.0,0.0,8.2460544e-35,6.741554e-12,1.0
event_0809,5/19/2005 06:02:54.9490,Site0009_F_0000063,epri_event_0809,2.165253e-15,3.5940323e-21,5.8025274e-14,1.0856943e-12,4.3289006e-10,9.1775825e-20,1.5796389e-13,4.652728e-13,1.3214801e-13,1.0,5.7432756e-11,6.366076e-21,2.954715e-08,5.123869e-10,4.3990042e-08,6.573021e-13,3.6774893e-12,5.565931e-13,4.856882e-11,0.9999999,2.7696181e-10,4.545866e-20,2.429848e-07,5.002141e-09,9.179106e-08,9.029249e-12,1.5271207e-10,8.818135e-12,2.6439795e-09,0.99999964,1.1511455e-08,2.7478996e-15,1.0430529e-07,1.0110715e-07,4.4812172e-05,3.535907e-10,2.9184932e-07,1.02931e-06,9.157331e-08,0.9999535,1.1152402e-15,4.465802e-22,8.302865e-10,2.5447455e-11,9.601966e-09,5.6912185e-18,6.1254528e-18,9.976039e-15,4.87665e-13,1.0,3.0076527e-19,4.033743e-31,8.903073e-17,3.2510928e-19,2.0706045e-11,8.1606746e-23,2.4466747e-22,3.5471323e-16,5.163922e-16,1.0
event_2950,11/14/2006 14:00:46.3910,Site0014,epri_event_2950,6.893998e-14,8.767848e-22,1.500745e-12,0.8231913,2.1085828e-14,1.8039996e-22,4.497876e-18,2.1215708e-16,2.3984507e-05,0.17678475,7.116024e-08,3.3752206e-13,0.0001489999,0.9680715,2.543547e-08,2.4608512e-15,1.90304e-14,1.653452e-11,0.013918575,0.017860832,8.3183634e-13,2.9258314e-19,4.292938e-11,0.9863149,1.0481595e-12,1.5547444e-20,2.1401219e-16,5.601022e-15,0.0002317872,0.013453365,8.516574e-29,1.548607e-36,1.5318667e-30,8.2563356e-23,1.8971914e-05,0.0,1.2446987e-33,4.415019e-30,7.820643e-11,0.99998105,2.527009e-28,2.2230286e-35,7.5493644e-32,7.498186e-26,4.601132e-06,0.0,5.501977e-38,3.768127e-32,2.8301066e-12,0.99999535,1.3662416e-11,2.6145629e-17,1.06136016e-08,0.01947607,0.0029189694,1.4461933e-15,6.812624e-12,1.3968762e-11,2.0439815e-05,0.97758454
event_2788,7/27/2005 18:08:27.9170,Site0014,epri_event_2788,3.126896e-08,1.8005766e-13,6.9255e-05,0.8470861,1.5713129e-08,1.2155907e-15,6.006643e-14,2.337288e-11,0.017664086,0.13518059,1.1916727e-10,4.6211492e-14,5.833818e-07,0.9215766,1.2473013e-09,7.146394e-18,1.0860443e-15,1.3076447e-12,0.0058151213,0.07260765,4.9023668e-14,7.532512e-17,7.7725916e-11,0.91667867,8.3574553e-10,6.9272902e-18,1.4883217e-12,4.2484952e-12,5.2541414e-05,0.08326876,1.2071751e-18,9.2625866e-26,1.784866e-17,4.2283573e-14,6.6163665e-07,6.0163997e-31,1.0813823e-26,1.8466826e-22,5.9182156e-07,0.9999987,1.0650024e-14,1.1520582e-18,2.0284394e-09,0.98943955,9.532388e-12,1.6808938e-21,4.2102964e-17,5.3821167e-16,2.8176573e-05,0.010532257,2.011368e-15,2.4925313e-14,4.97495e-10,0.53481686,1.0449027e-10,1.4936578e-20,1.8667297e-15,1.9030332e-14,1.0133744e-05,0.46517304
event_2993,4/25/2007 18:54:58.3613,Site0014,epri_event_2993,2.6041699e-25,5.2642143e-20,2.5332032e-24,1.1765817e-14,8.9808433e-10,1.6787594e-11,1.0,8.95773e-29,2.6151873e-27,7.995603e-15,3.6299647e-07,0.06787071,3.6066263e-06,0.01896822,0.11621727,0.38023102,0.20101865,1.5694582e-07,4.415588e-07,0.21568957,2.4986718e-24,3.0396354e-20,2.6952875e-22,1.7318217e-14,4.1249835e-09,1.9624936e-10,1.0,8.173116e-28,9.3635645e-26,2.9017882e-14,5.0000385e-13,4.5817906e-19,4.6035326e-19,2.9690061e-15,0.17510965,1.0922225e-10,8.62157e-06,1.0613641e-17,1.22331725e-14,0.8248817,2.4912041e-11,1.4389961e-11,2.1883311e-14,3.12823e-11,0.39125493,6.025769e-09,2.7140036e-06,2.0770163e-12,3.312103e-10,0.6087423,1.885877e-35,0.0,7.28792e-36,2.5265196e-28,3.1555232e-12,4.901435e-13,1.0,0.0,4.883837e-35,1.7431589e-29
event_1108,6/17/2005 06:16:34.9600,Site0009_F_0000062,epri_event_1108,1.4810153e-13,3.2397305e-25,6.8137984e-10,5.9952016e-13,7.468532e-11,9.666005e-16,3.953521e-16,3.4294188e-16,7.6442027e-14,1.0,1.3501518e-10,3.657178e-22,2.7930994e-07,1.2547893e-09,3.1987778e-08,5.077551e-13,1.1302342e-11,1.3362525e-11,5.4061466e-10,0.99999964,1.7328719e-17,7.903964e-20,7.350468e-18,3.3789055e-11,3.9164078e-11,7.0176336e-20,0.0026673835,8.104047e-17,3.5811923e-14,0.9973327,1.7978061e-25,0.0,3.4104786e-10,4.1212838e-17,2.4382473e-06,1.474745e-25,9.482811e-26,0.0,1.9580146e-09,0.9999976,3.551018e-12,2.2977733e-28,0.08015857,2.71172e-06,6.692453e-10,8.8285894e-08,3.4297232e-10,1.6651816e-21,2.624443e-07,0.9198384,6.6809637e-21,4.37696e-34,4.708312e-08,1.0,1.6741138e-18,9.860693e-20,8.891495e-18,4.5691907e-31,7.57529e-21,5.7385855e-20
event_0799,5/19/2005 05:05:31.5100,Site0009_F_0000063,epri_event_0799,2.7507255e-13,1.9092169e-17,1.760717e-12,3.607825e-09,8.0956e-10,3.4603265e-16,1.2221858e-09,8.47109e-12,1.0230996e-11,1.0,7.1447024e-12,1.0240432e-21,8.592991e-09,4.6112975e-11,2.0550976e-08,2.25983e-13,1.3642042e-12,6.734992e-14,8.205938e-12,1.0,2.6811502e-09,3.2476427e-19,1.0422942e-06,4.0651976e-08,1.9015667e-07,7.886692e-11,8.4874224e-10,6.755257e-11,2.1829937e-08,0.9999987,2.3271106e-05,5.18137e-08,0.00010150801,4.703274e-05,0.332376,1.2758168e-05,0.4410323,0.008383013,0.00015519738,0.21786892,4.1714612e-19,1.0021273e-22,4.2617335e-16,5.746042e-17,5.2309886e-11,3.7411143e-19,1.5482372e-18,4.714413e-16,9.721845e-16,1.0,6.7471446e-21,2.3561182e-34,2.4198267e-18,9.148487e-23,3.0026194e-12,2.5349998e-25,8.683671e-25,2.191454e-22,1.0278925e-17,1.0
event_2830,1/15/2006 01:00:18.2080,Site0010,epri_event_2830,8.074054e-13,4.6087013e-18,2.3737196e-06,0.50355774,1.5370797e-09,6.947443e-17,4.385916e-15,9.600803e-13,0.00028515537,0.49615473,3.0593653e-12,1.0669005e-16,4.3116185e-07,0.019578712,9.60475e-09,6.1457415e-19,3.3463504e-15,8.285687e-13,0.00069747784,0.9797234,3.8332214e-06,3.2502198e-10,0.034413893,0.81537616,1.4908015e-05,2.3471822e-08,5.5061133e-09,2.4754027e-06,0.024484005,0.12570474,5.171218e-12,8.262315e-21,9.657133e-11,0.99911374,1.10359e-07,1.4752487e-15,0.0008860884,1.1043757e-14,1.00969215e-08,2.3089127e-08,5.7313616e-18,3.259393e-20,2.89241e-15,0.00091166474,1.736664e-11,1.459198e-28,5.0165e-18,2.9614106e-21,1.3269608e-06,0.999087,3.2596965e-14,4.240383e-14,6.804269e-14,0.9749408,3.667479e-10,5.493893e-22,3.8107278e-12,2.3394918e-16,0.00010057898,0.024958672
